adm2_code,governorate,district,first_year,latest_year,first_radiance,latest_radiance,latest_median,latest_q95,latest_good_quality,change_percent,log_radiance_slope_per_year
IRQ008005,Baghdad,Al-Mahmoudiya,2012,2024,1.4598047733306885,7.571324348449707,4.640167713946662,26.194464538097012,1.0,418.653212180899,0.08794709980102242
IRQ002001,Al-Basrah,Abu Al-Khaseeb,2012,2024,1.6305615901947021,9.066920280456543,1.435388082773137,70.09566067859548,1.0,456.0611960308644,0.09850283588417875
IRQ011002,Erbil,Erbil,2012,2024,5.4132232666015625,9.77716064453125,1.9568350414219344,53.14252385606211,1.0,80.61624586693577,0.04290412628426843
IRQ012002,Kerbala,Al-Hindiya,2012,2024,1.4917128086090088,12.579968452453613,7.221789852904976,40.802498036300605,1.0,743.3237537314018,0.11435450109527895
IRQ008002,Baghdad,Al-Kadhmiyah,2012,2024,4.439614772796631,14.405261039733887,7.265506483762784,53.90538002164072,1.0,224.47096824708578,0.07330205882096877
IRQ007002,Babil,Al-Hilla,2012,2024,2.024229049682617,14.719765663146973,5.872931434545699,66.71118902334429,1.0,627.1788568321808,0.12720437187048117
IRQ004001,Al-Najaf,Al-Kufa,2012,2024,2.609598398208618,16.4846248626709,5.725522258657076,74.09034191641322,1.0,531.6920210399775,0.12063486073725153
IRQ002002,Al-Basrah,Al-Basrah,2012,2024,5.968764305114746,24.45081329345703,3.0826360094925973,197.7591205105683,1.0,309.6461519263656,0.08739981715195087
IRQ008001,Baghdad,Al-Adhamiya,2012,2024,14.1936674118042,60.0872688293457,54.02039091146285,139.63509369687364,1.0,323.3385712516694,0.09483148699724572
IRQ008003,Baghdad,Al-Karkh,2012,2024,20.837127685546875,77.77490997314453,78.44559074372752,196.5398817584517,1.0,273.2515879676211,0.09636667209837937
IRQ008007,Baghdad,Al-Thawra,2012,2024,25.269838333129883,87.984130859375,94.6437326451833,139.07262089733482,1.0,248.1784477585038,0.08900162653238108
IRQ008006,Baghdad,Al-Risafa,2012,2024,22.504898071289062,88.21154022216797,79.17240645078878,197.1998313152607,1.0,291.9659619996461,0.09784543973599177
